Movie Number,Movie Title,Movie Url,Date,Length,Genre,IMDb Rating,Filtered Genre,year,Int Length
6972,Glengarry Glen Ross,http://www.imdb.com/title/tt0104348/,2 October 1992,1h 40min,"['Crime', 'Drama', 'Mystery']",7.8,Crime,1992.0,100
6976,The Bad News Bears,http://www.imdb.com/title/tt0074174/,7 April 1976,1h 42min,"['Comedy', 'Drama', 'Family']",7.3,Comedy,1976.0,102
6985,Tommy Boy,http://www.imdb.com/title/tt0114694/,31 March 1995,1h 37min,"['Adventure', 'Comedy']",7.0,Comedy,1995.0,97
6988,Miss Congeniality,http://www.imdb.com/title/tt0212346/,22 December 2000,1h 49min,"['Action', 'Comedy', 'Crime']",6.2,Comedy,2000.0,109
6999,Little Shop of Horrors,http://www.imdb.com/title/tt0091419/,19 December 1986,1h 34min,"['Comedy', 'Family', 'Musical']",6.9,Comedy,1986.0,94
7016,Rabbit Hole,http://www.imdb.com/title/tt0935075/,28 January 2011,1h 31min,['Drama'],7.0,Drama,2011.0,91
7018,Bad Lieutenant: Port of Call New Orleans,http://www.imdb.com/title/tt1095217/,11 December 2009,2h 2min,"['Crime', 'Drama']",6.7,Crime,2009.0,122
7028,Days of Heaven,http://www.imdb.com/title/tt0077405/,6 October 1978,1h 34min,"['Drama', 'Romance']",8.0,Romance,1978.0,94
7029,Over the Top,http://www.imdb.com/title/tt0093692/,13 February 1987,1h 33min,"['Action', 'Drama', 'Sport']",5.7,Undefined,1987.0,93
7038,Hamlet,http://www.imdb.com/title/tt0116477/,25 December 1996,4h 2min,['Drama'],7.8,Drama,1996.0,242
7058,Top Gun,http://www.imdb.com/title/tt0092099/,16 May 1986,1h 50min,"['Action', 'Drama', 'Romance']",6.9,Romance,1986.0,110
7059,Death of a Superhero,http://www.imdb.com/title/tt1384927/,30 August 2012,1h 37min,"['Animation', 'Drama']",7.1,Drama,2012.0,97
7062,Oldboy,http://www.imdb.com/title/tt0364569/,21 November 2003,2h,"['Drama', 'Mystery', 'Thriller']",8.4,Drama,2003.0,120
7063,Let the Right One In,http://www.imdb.com/title/tt1139797/,12 December 2008,1h 55min,"['Drama', 'Horror', 'Romance']",8.0,Romance,2008.0,115
7080,Children of the Corn,http://www.imdb.com/title/tt0087050/,9 March 1984,1h 32min,"['Horror', 'Thriller']",5.6,Horror,1984.0,92
7093,Two Lovers,http://www.imdb.com/title/tt1103275/,20 March 2009,1h 50min,"['Drama', 'Romance']",7.1,Romance,2009.0,110
7103,Twin Peaks: Fire Walk with Me,http://www.imdb.com/title/tt0105665/,28 August 1992,2h 15min,"['Drama', 'Fantasy', 'Horror']",7.2,Sci-Fi/Fantasy,1992.0,135
7111,Henry's Crime,http://www.imdb.com/title/tt1220888/,14 January 2011,1h 48min,"['Comedy', 'Crime', 'Drama']",6.0,Comedy,2011.0,108
7120,Revenge,http://www.imdb.com/title/tt0100485/,16 February 1990,2h 4min,"['Action', 'Crime', 'Drama']",6.2,Crime,1990.0,124
7126,The Peacemaker,http://www.imdb.com/title/tt0119874/,26 September 1997,2h 4min,"['Action', 'Thriller']",5.9,Action/Adventure,1997.0,124
7132,Madea's Big Happy Family,http://www.imdb.com/title/tt1787759/,22 April 2011,1h 46min,"['Comedy', 'Drama']",4.5,Comedy,2011.0,106
7150,The Veteran,http://www.imdb.com/title/tt1653700/,29 April 2011,1h 38min,"['Action', 'Thriller']",5.9,Action/Adventure,2011.0,98
7162,My Name Is Nobody,http://www.imdb.com/title/tt0070215/,17 July 1974,1h 56min,"['Western', 'Comedy']",7.5,Comedy,1974.0,116
7166,The First Wives Club,http://www.imdb.com/title/tt0116313/,20 September 1996,1h 43min,['Comedy'],6.2,Comedy,1996.0,103
7168,Superstar,http://www.imdb.com/title/tt0167427/,8 October 1999,1h 21min,"['Comedy', 'Romance']",5.0,RomCom,1999.0,81
7172,Restraint,http://www.imdb.com/title/tt0441782/,19 August 2008,1h 34min,"['Drama', 'Thriller']",6.2,Drama,2008.0,94
7185,Black Sheep,http://www.imdb.com/title/tt0115697/,2 February 1996,1h 27min,['Comedy'],6.2,Comedy,1996.0,87
7189,The Woman in the Fifth,http://www.imdb.com/title/tt1605777/,16 November 2011,1h 24min,"['Drama', 'Mystery', 'Thriller']",5.3,Drama,2011.0,84
7199,The Man Who Fell to Earth,http://www.imdb.com/title/tt0074851/,8 April 1976,2h 19min,"['Sci-Fi', 'Drama']",6.7,Sci-Fi/Fantasy,1976.0,139
7207,Shorts,http://www.imdb.com/title/tt1100119/,21 August 2009,1h 29min,"['Comedy', 'Family', 'Fantasy']",4.8,Comedy,2009.0,89
7221,The Return of the Pink Panther,http://www.imdb.com/title/tt0072081/,21 May 1975,1h 53min,"['Comedy', 'Crime', 'Mystery']",7.1,Comedy,1975.0,113
7222,The Boys from Brazil,http://www.imdb.com/title/tt0077269/,6 October 1978,2h 5min,"['Drama', 'Thriller']",7.0,Drama,1978.0,125
7223,Class,http://www.imdb.com/title/tt0085346/,22 July 1983,1h 38min,"['Comedy', 'Drama', 'Romance']",5.9,RomCom,1983.0,98
7244,The Wraith,http://www.imdb.com/title/tt0092240/,21 November 1986,1h 33min,"['Action', 'Horror', 'Romance']",5.9,Romance,1986.0,93
7277,Time After Time,http://www.imdb.com/title/tt0080025/,28 September 1979,1h 52min,"['Adventure', 'Drama', 'Sci-Fi']",7.2,Sci-Fi/Fantasy,1979.0,112
7278,"Strange Brew 
",http://www.imdb.com/title/tt0086373/,26 August 1983,1h 30min,['Comedy'],6.8,Comedy,1983.0,90
7282,My Blue Heaven,http://www.imdb.com/title/tt0100212/,17 August 1990,1h 37min,"['Comedy', 'Crime']",6.2,Comedy,1990.0,97
7283,Bad Girls,http://www.imdb.com/title/tt0109198/,22 April 1994,1h 39min,"['Romance', 'Western']",5.1,Romance,1994.0,99
7284,Book of Shadows: Blair Witch 2,http://www.imdb.com/title/tt0229260/,27 October 2000,1h 30min,"['Adventure', 'Fantasy', 'Horror']",4.0,Sci-Fi/Fantasy,2000.0,90
7298,Not Without My Daughter,http://www.imdb.com/title/tt0102555/,11 January 1991,1h 56min,"['Drama', 'Thriller']",6.2,Drama,1991.0,116
7307,Erik the Viking,http://www.imdb.com/title/tt0097289/,22 September 1989,1h 47min,"['Comedy', 'Adventure', 'Fantasy']",6.2,Comedy,1989.0,107
7312,"Greystoke: The Legend of Tarzan, Lord of the Apes",http://www.imdb.com/title/tt0087365/,30 March 1984,2h 15min,"['Adventure', 'Drama']",6.3,Undefined,1984.0,135
7316,The Two Jakes,http://www.imdb.com/title/tt0100828/,10 August 1990,2h 17min,"['Crime', 'Drama', 'Mystery']",6.1,Crime,1990.0,137
7322,The Hillz,http://www.imdb.com/title/tt0343788/,25 June 2004,1h 31min,"['Crime', 'Drama']",2.6,Crime,2004.0,91
7325,Another Day in Paradise,http://www.imdb.com/title/tt0127722/,1999,1h 41min,"['Crime', 'Drama', 'Thriller']",6.5,Crime,1999.0,101
7332,Hoodlum,http://www.imdb.com/title/tt0119311/,27 August 1997,2h 10min,"['Crime', 'Drama']",6.2,Crime,1997.0,130
7334,The Foot Fist Way,http://www.imdb.com/title/tt0492619/,26 September 2008,1h 25min,['Comedy'],6.4,Comedy,2008.0,85
7378,Bad Influence,http://www.imdb.com/title/tt0099091/,9 March 1990,1h 39min,"['Drama', 'Thriller']",6.2,Drama,1990.0,99
7385,Shadows and Fog,http://www.imdb.com/title/tt0105378/,20 March 1992,1h 25min,['Comedy'],6.8,Comedy,1992.0,85
7391,Sacrifice,http://www.imdb.com/title/tt0091670/,1986,2h 29min,['Drama'],8.2,Drama,1986.0,149
7394,The Professional,http://www.imdb.com/title/tt0082949/,21 October 1981,1h 48min,"['Action', 'Crime', 'Drama']",7.7,Crime,1981.0,108
7405,Red,http://www.imdb.com/title/tt0972883/,20 January 2008,1h 33min,"['Drama', 'Thriller']",7.1,Drama,2008.0,93
